அஃதாவது:[[அஃதாவது, , , , , , , , , , , ]]
இரட்டைநாடி:[[இரட்டைநாடி, null, , , , , , , , , , ]]
இரட்டைபடை:[[இரட்டைபட், ஐ, , , , , , , , , , ]]
இரட்டைப்:[[இரட்டை, ப், , , , , , , , , , ]]
இரட்டைப்பட்டு:[[இரட்டைப்பட்டு, null, , , , , , , , , , ]]
இரட்டைப்பிறவி:[[இரட்டைப்பிறவி, null, , , , , , , , , , ]]
இரட்டைமண்டை:[[இரட்டைமண்டை, , , , , , , , , , , ]]
இரட்டையா்:[[இரட்டையர், null, , , , , , , , , , ]]
இரட்டைவால்:[[இரட்டை, வ், ஆல், , , , , , , , , ]]
இரணம்:[[இர, ண், அம், , , , , , , , , ]]
இரணை:[[இர, ண், ஐ, , , , , , , , , ]]
இரணைக்:[[இரணை, க், , , , , , , , , , ]]
இரண்டகநிலை:[[இரண்டகநிலை, null, , , , , , , , , , ]]
இரண்டகம்:[[இரண்டக், அம், , , , , , , , , , ]]
இரண்டறக்:[[இரண்டற, க், , , , , , , , , , ]]
இரண்டாக்கு:[[இரண்டாக்க், உ, , , , , , , , , , ], [இரண்டாக், கு, , , , , , , , , , ]]
இரண்டாக்கு:[[இரண்டாக்க், உ, , , , , , , , , , ], [இரண்டாக், கு, , , , , , , , , , ]]
இரண்டாம்:[[இரண்டாம், , , , , , , , , , , ]]
இரண்டாம்பட்சம்:[[இரண்டாம்பட்சம், null, , , , , , , , , , ]]
இரண்டிலொன்று:[[இரண்டிலொன்று, null, , , , , , , , , , ]]
இரண்டு:[[இரண்டு, , , , , , , , , , , ]]
இரண்டுக்குப்போ:[[இரண்டுக்குப்போ, null, , , , , , , , , , ]]
இரண்டுங்கெட்டான்:[[இரண்டுங்கெட்டான், null, , , , , , , , , , ]]
இரண்டுபடு:[[இரண்டுபட், உ, , , , , , , , , , ]]
இரண்டொரு:[[இரண்டொர், உ, , , , , , , , , , ]]
இரத்த:[[இரத்தம், , , , , , , , , , , ]]
இரத்தக்:[[இரத்தக், , , , , , , , , , , ]]
இரத்தக்களரி:[[இரத்தக்களரி, null, , , , , , , , , , ]]
இரத்தக்கொதி:[[இரத்தக்கொதி, null, , , , , , , , , , ]]
இரத்தத்:[[இரத்தம், த், , , , , , , , , , ]]
இரத்தப்:[[இரத்தம், ப், , , , , , , , , , ]]
இரத்தப்போக்கு:[[இரத்தப்போக்கு, null, , , , , , , , , , ]]
இரத்தமானி:[[இரத்தமானி, null, , , , , , , , , , ]]
இரத்தம்:[[இரத்தம், , , , , , , , , , , ]]
இரத்தினம்:[[இரத்தினம், , , , , , , , , , , ]]
இரப்பை:[[இர, ப், பை, , , , , , , , , ]]
இரவல்:[[இர, வ், அல், , , , , , , , , ]]
இரவல்சோறு:[[இரவல்சோற், உ, , , , , , , , , , ]]
இரவாக:[[இர, வ், ஆக, , , , , , , , , ]]
இரவிரவாக:[[இரவிர, வ், ஆக, , , , , , , , , ], [இரவிரவ், ஆக, , , , , , , , , , ]]
இரவிரவாக:[[இரவிர, வ், ஆக, , , , , , , , , ], [இரவிரவ், ஆக, , , , , , , , , , ]]
இரவு:[[இரவு, , , , , , , , , , , ]]
இரவுபகலாக:[[இரவுபகலாக, null, , , , , , , , , , ]]
இரவுப்:[[இரவுப், , , , , , , , , , , ]]
இரவோடு:[[இர, வ், ஓடு, , , , , , , , , ]]
இராகம்:[[இராகம், , , , , , , , , , , ]]
இராசவள்ளிக்:[[இராசவள்ளிக், null, , , , , , , , , , ]]
இராசி:[[இரா, ச், இ, , , , , , , , , ]]
இராஜ்ஜியம்:[[இராஜ்ஜியம், , , , , , , , , , , ]]
இராமன்:[[இராமன், , , , , , , , , , , ]]
இராமபாணப்:[[இராமபாணப், null, , , , , , , , , , ]]
இரு:[[இரு, , , , , , , , , , , ]]
இருகாலி:[[இரு, காலி, , , , , , , , , , ]]
இருக்கட்டும்:[[இருக்கட்டும், null, , , , , , , , , , ]]
இருக்கப்பட்ட:[[இருக்கப்பட்ட, null, , , , , , , , , , ]]
இருக்கை:[[இருக்கை, , , , , , , , , , , ]]
இருக்கைப்:[[இருக்கை, ப், , , , , , , , , , ]]
இருசு:[[இரு, ச், உ, , , , , , , , , ]]
இருட்டடி:[[இருட்டடி, null, , , , , , , , , , ]]
இருட்டடிப்பு:[[இருட்டடிப்பு, null, , , , , , , , , , ]]
இருட்டு:[[இருட்டு, , , , , , , , , , , ]]
இருண்ட:[[இரு, ண், ட, , , , , , , , , ]]
இருண்டகாலம்:[[இருண்டகாலம், null, , , , , , , , , , ]]
இருண்மை:[[இரு, ண், மை, , , , , , , , , ]]
இருதயத்:[[இருதயம், த், , , , , , , , , , ]]
இருதயம்:[[இருதயம், , , , , , , , , , , ]]
இருத்தலியல்:[[இருத்தலியல், null, , , , , , , , , , ]]
இருந்தபோதிலும்:[[இருந்தபோதிலும், null, , , , , , , , , , ]]
இருந்தபோது:[[இருந்தபோத், உ, , , , , , , , , , ]]
இருந்தாற்போல்:[[இருந்தாற்போல், null, , , , , , , , , , ]]
இருந்தாலும்:[[இருந்தாலும், null, , , , , , , , , , ]]
இருந்தால்:[[இருந்தால், , , , , , , , , , , ]]
இருந்திருந்து:[[இருந்திருந்து, null, , , , , , , , , , ]]
இருந்து:[[இருந்து, , , , , , , , , , , ]]
இருந்தும்:[[இருந்து, உம், , , , , , , , , , ]]
இருபது:[[இரு, ப், அது, , , , , , , , , ]]
இருபாலா்:[[இருபாலர், null, , , , , , , , , , ]]
இருபாலினம்:[[இருபாலின், அம், , , , , , , , , , ]]
இருபாலினா்:[[இருபாலினர், null, , , , , , , , , , ]]
இருபால்:[[இரு, ப், ஆல், , , , , , , , , ]]
இருப்பிடச்:[[இருப்பிடச், null, , , , , , , , , , ]]
இருப்பிடம்:[[இருப்பிடம், , , , , , , , , , , ]]
இருப்பினும்:[[இருப்பினும், null, , , , , , , , , , ]]
இருப்பு:[[இருப்பு, , , , , , , , , , , ]]
இருப்புக்கு:[[இருப்பு, உ, க், கு, , , , , , , , ], [இருப்புக்க், உ, , , , , , , , , , ], [இருப்புக், கு, , , , , , , , , , ]]
இருப்புக்கு:[[இருப்பு, உ, க், கு, , , , , , , , ], [இருப்புக்க், உ, , , , , , , , , , ], [இருப்புக், கு, , , , , , , , , , ]]
இருப்புக்கு:[[இருப்பு, உ, க், கு, , , , , , , , ], [இருப்புக்க், உ, , , , , , , , , , ], [இருப்புக், கு, , , , , , , , , , ]]
இருப்புக்கொள்:[[இருப்புக்கொள், null, , , , , , , , , , ]]
இருப்புச்சட்டி:[[இருப்புச்சட்டி, null, , , , , , , , , , ]]
இருப்புபாதை:[[இருப்புபாத், ஐ, , , , , , , , , , ]]
இருமல்:[[இருமல், , , , , , , , , , , ]]
இருமு:[[இருமு, , , , , , , , , , , ]]
இருமுடி:[[இருமுடி, , , , , , , , , , , ]]
இருமுனை:[[இருமு, ன், ஐ, , , , , , , , , ]]
இருமை:[[இருமை, , , , , , , , , , , ]]
இரும்பு:[[இரும்பு, , , , , , , , , , , ]]
இரும்புக்:[[இரும்பு, க், , , , , , , , , , ]]
இரும்புக்கரம்:[[இரும்புக்கரம், null, , , , , , , , , , ]]
இரும்புச்சத்து:[[இரும்புச்சத்து, null, , , , , , , , , , ]]
இரும்புத்திரை:[[இரும்புத்திரை, , , , , , , , , , , ]]
இருள்:[[இருள், , , , , , , , , , , ]]
இருவழி:[[இரு, வழி, , , , , , , , , , ]]
இருவழிப்:[[இருவழி, ப், , , , , , , , , , ]]
இருவாட்சி:[[இருவாட்சி, null, , , , , , , , , , ]]
இருவாட்டித்:[[இருவாட்டித், null, , , , , , , , , , ]]
இருவித்திலைத்:[[இருவித்திலைத், null, , , , , , , , , , ]]
இரை:[[இரை, , , , , , , , , , , ]]
இரைச்சல்:[[இரைச்சல், , , , , , , , , , , ]]
இரைப்பு:[[இரைப்பு, , , , , , , , , , , ]]
இரைப்பை:[[இரைப்பு, ஐ, , , , , , , , , , ]]
இரையாகு:[[இரையா, க், உ, , , , , , , , , ], [இரையாக், உ, , , , , , , , , , ], [இரையா, கு, , , , , , , , , , ]]
இரையாகு:[[இரையா, க், உ, , , , , , , , , ], [இரையாக், உ, , , , , , , , , , ], [இரையா, கு, , , , , , , , , , ]]
இரையாகு:[[இரையா, க், உ, , , , , , , , , ], [இரையாக், உ, , , , , , , , , , ], [இரையா, கு, , , , , , , , , , ]]
இரையாக்கு:[[இரையா, க், கு, , , , , , , , , ], [இரையாக்க், உ, , , , , , , , , , ], [இரையாக், கு, , , , , , , , , , ]]
இரையாக்கு:[[இரையா, க், கு, , , , , , , , , ], [இரையாக்க், உ, , , , , , , , , , ], [இரையாக், கு, , , , , , , , , , ]]
இரையாக்கு:[[இரையா, க், கு, , , , , , , , , ], [இரையாக்க், உ, , , , , , , , , , ], [இரையாக், கு, , , , , , , , , , ]]
இரையெடு:[[இரை, ய், எடு, , , , , , , , , ]]
இற:[[இற, , , , , , , , , , , ]]
இறகு:[[இறகு, , , , , , , , , , , ]]
இறகுப்பந்து:[[இறகுப்பந்து, null, , , , , , , , , , ]]
இறக்கம்:[[இறக்கம், , , , , , , , , , , ]]
இறக்கு:[[இறக்கு, , , , , , , , , , , ]]
இறக்குமதி:[[இறக்குமதி, null, , , , , , , , , , ]]
இறக்கை:[[இறக்கை, , , , , , , , , , , ]]
இறங்க:[[இறங்கு, அ, , , , , , , , , , ]]
இறங்கிவா:[[இறங்கி, வ், ஆ, , , , , , , , , ], [இறங்கிவ், ஆ, , , , , , , , , , ]]
இறங்கிவா:[[இறங்கி, வ், ஆ, , , , , , , , , ], [இறங்கிவ், ஆ, , , , , , , , , , ]]
இறங்கு:[[இறங்கு, , , , , , , , , , , ]]
இறங்குமுகம்:[[இறங்குமுகம், null, , , , , , , , , , ]]
இறந்த:[[இறந், த, , , , , , , , , , ], [இறந்த், அ, , , , , , , , , , ]]
இறந்த:[[இறந், த, , , , , , , , , , ], [இறந்த், அ, , , , , , , , , , ]]
இறந்தகாலம்:[[இறந்தகாலம், null, , , , , , , , , , ]]
இறந்துபடு:[[இறந்துபட், உ, , , , , , , , , , ]]
இறப்பு:[[இ, ற், அப்பு, , , , , , , , , ]]
இறம்ப:[[இற, ம், ப, , , , , , , , , ]]
இறவாணம்:[[இறவு, ஆண், அம், , , , , , , , , ]]
இறவாமை:[[இற, வ், ஆமை, , , , , , , , , ]]
இறவை:[[இற, வ், ஐ, , , , , , , , , ]]
இறாஞ்சு:[[இறாஞ், ச், உ, , , , , , , , , ], [இறாஞ்ச், உ, , , , , , , , , , ]]
இறாஞ்சு:[[இறாஞ், ச், உ, , , , , , , , , ], [இறாஞ்ச், உ, , , , , , , , , , ]]
இறால்:[[இறால், , , , , , , , , , , ]]
இறு:[[இறு, , , , , , , , , , , ]]
இறுக:[[இறு, உக, , , , , , , , , , ]]
இறுகு:[[இறுகு, , , , , , , , , , , ]]
இறுக்கம்:[[இறுக்கு, அம், , , , , , , , , , ]]
இறுக்கு:[[இறுக்கு, , , , , , , , , , , ]]
இறுதி:[[இறுதி, , , , , , , , , , , ]]
இறுதிசெய்:[[இறுதிசெய், null, , , , , , , , , , ]]
இறுதிச்:[[இறுதி, ச், , , , , , , , , , ]]
இறுதித்:[[இறுதி, த், , , , , , , , , , ]]
இறுதியாக:[[இறுதி, ய், ஆக, , , , , , , , , ]]
இறுதியில்:[[இறுதி, ய், இல், , , , , , , , , ]]
இறுமா:[[இறு, ம், ஆ, , , , , , , , , ]]
இறுமாப்பு:[[இறு, ம், ஆப்பு, , , , , , , , , ]]
இறும்பூது:[[இறும்பூத், உ, , , , , , , , , , ]]
இறை:[[இறை, , , , , , , , , , , ]]
இறைச்:[[இறை, ச், , , , , , , , , , ]]
இறைச்சி:[[இறை, ச், சி, , , , , , , , , ]]
இறைச்சிக்கூடம்:[[இறைச்சிக்கூடம், null, , , , , , , , , , ]]
இறைஞ்சு:[[இறைஞ்சு, , , , , , , , , , , ]]
இறைத்தூதா்:[[இறைத்தூதர், null, , , , , , , , , , ]]
இறைமை:[[இறை, ம், ஐ, , , , , , , , , ]]
இறையரசு:[[இறையரசு, , , , , , , , , , , ]]
இறையாண்மை:[[இறை, ய், ஆண்மை, , , , , , , , , ]]
இறையியல்:[[இறையி, ய், அல், , , , , , , , , ]]
இறைவன்:[[இறைவன், , , , , , , , , , , ]]
இறைவி:[[இறைவி, , , , , , , , , , , ]]
இற்றைவரை:[[இற்றை, வ், அரை, , , , , , , , , ], [இற்றைவர், ஐ, , , , , , , , , , ], [இற்றை, வரை, , , , , , , , , , ]]
இற்றைவரை:[[இற்றை, வ், அரை, , , , , , , , , ], [இற்றைவர், ஐ, , , , , , , , , , ], [இற்றை, வரை, , , , , , , , , , ]]
இற்றைவரை:[[இற்றை, வ், அரை, , , , , , , , , ], [இற்றைவர், ஐ, , , , , , , , , , ], [இற்றை, வரை, , , , , , , , , , ]]
இலகு:[[இலகு, , , , , , , , , , , ]]
இலகுரக:[[இலகுரக, null, , , , , , , , , , ]]
இலக்கணம்:[[இலக்கணம், , , , , , , , , , , ]]
இலக்கம்:[[இலக்கம், , , , , , , , , , , ]]
இலக்கியத்:[[இலக்கியத், null, , , , , , , , , , ]]
இலக்கியம்:[[இலக்கியம், , , , , , , , , , , ]]
இலக்கு:[[இலக்கு, , , , , , , , , , , ]]
இலங்கு:[[இலங்கு, , , , , , , , , , , ]]
இலச்சினை:[[இலச்சினை, , , , , , , , , , , ]]
இலட்சணம்:[[இலட்சணம், , , , , , , , , , , ]]
இலட்சம்:[[இலடு, ச், அம், , , , , , , , , ]]
இலட்சியம்:[[இலட்சியம், , , , , , , , , , , ]]
இலந்தை:[[இலந்தை, , , , , , , , , , , ]]
இலயம்:[[இலம், ய், அம், , , , , , , , , ]]
இலயி:[[இலம், ய், இ, , , , , , , , , ]]
இலவங்கம்:[[இலவங்க், அம், , , , , , , , , , ]]
இலவசம்:[[இலவச், அம், , , , , , , , , , ]]
இலவமரம்:[[இலவமர், அம், , , , , , , , , , ]]
இலவம்:[[இலவம், , , , , , , , , , , ]]
இலாக்கா:[[இலாகு, கா, , , , , , , , , , ]]
இலாடம்:[[இலாடம், , , , , , , , , , , ]]
இலாபம்:[[இ, ல், ஆபம், , , , , , , , , ]]
இலிங்கம்:[[இலிங்கம், , , , , , , , , , , ]]
இலிபி:[[இ, ல், இபி, , , , , , , , , ]]
இலுப்பை:[[இலுப்பை, , , , , , , , , , , ]]
இலேகியம்:[[இலே, க், இயம், , , , , , , , , ], [இலேகி, ய், அம், , , , , , , , , ], [இலேகிய், அம், , , , , , , , , , ]]
இலேகியம்:[[இலே, க், இயம், , , , , , , , , ], [இலேகி, ய், அம், , , , , , , , , ], [இலேகிய், அம், , , , , , , , , , ]]
இலேகியம்:[[இலே, க், இயம், , , , , , , , , ], [இலேகி, ய், அம், , , , , , , , , ], [இலேகிய், அம், , , , , , , , , , ]]
இலேசு:[[இலே, ச், உ, , , , , , , , , ], [இலேச், உ, , , , , , , , , , ], [இல், ஏசு, , , , , , , , , , ]]
இலேசு:[[இலே, ச், உ, , , , , , , , , ], [இலேச், உ, , , , , , , , , , ], [இல், ஏசு, , , , , , , , , , ]]
இலேசு:[[இலே, ச், உ, , , , , , , , , ], [இலேச், உ, , , , , , , , , , ], [இல், ஏசு, , , , , , , , , , ]]
இலை:[[இலை, , , , , , , , , , , ]]
இலைத்துளை:[[இலைத்து, ள், ஐ, , , , , , , , , ], [இலைத்துள், ஐ, , , , , , , , , , ]]
இலைத்துளை:[[இலைத்து, ள், ஐ, , , , , , , , , ], [இலைத்துள், ஐ, , , , , , , , , , ]]
இலைபோடு:[[இலை, ப், ஓடு, , , , , , , , , ]]
இலைப்புள்ளி:[[இலைப்புள்ளி, null, , , , , , , , , , ]]
இலைப்பேன்:[[இலை, ப், பேன், , , , , , , , , ]]
இலைமறைவு:[[இலைமறைவ், உ, , , , , , , , , , ]]
இலையன்:[[இ, ல், ஐயன், , , , , , , , , ]]
இலையான்:[[இலை, ய், ஆன், , , , , , , , , ]]
இலையுதிர்:[[இலையுதிர், null, , , , , , , , , , ]]
இலைவடகம்:[[இலைவடக், அம், , , , , , , , , , ]]
இலைவிழு:[[இலை, விழு, , , , , , , , , , ]]
இல்:[[இல், null, , , , , , , , , , ]]
இல்லததும்:[[இல்லததும், null, , , , , , , , , , ]]
இல்லத்தரசி:[[இல்லத்தரசி, null, , , , , , , , , , ]]
இல்லற:[[இல்லறம், , , , , , , , , , , ]]
இல்லறம்:[[இல்லறம், , , , , , , , , , , ]]
இல்லா:[[இல்ல், ஆ, , , , , , , , , , ], [இல், லா, , , , , , , , , , ]]
இல்லா:[[இல்ல், ஆ, , , , , , , , , , ], [இல், லா, , , , , , , , , , ]]
இல்லாத:[[இல்லா, த, , , , , , , , , , ], [இல்லாத், அ, , , , , , , , , , ]]
இல்லாத:[[இல்லா, த, , , , , , , , , , ], [இல்லாத், அ, , , , , , , , , , ]]
இல்லாததற்கு:[[இல்லாததற்கு, null, , , , , , , , , , ]]
இல்லாமல்:[[இல்லா, ம், அல், , , , , , , , , ], [, இல்லாமல், , , , , , , , , , ]]
இல்லாமல்:[[இல்லா, ம், அல், , , , , , , , , ], [, இல்லாமல், , , , , , , , , , ]]
இல்லாமை:[[இல்லா, ம், ஐ, , , , , , , , , ], [இல், ல், ஆமை, , , , , , , , , ], [இல்ல், ஆம், ஐ, , , , , , , , , ], [இல்லாம், ஐ, , , , , , , , , , ], [இல்ல், ஆமை, , , , , , , , , , ]]
இல்லாமை:[[இல்லா, ம், ஐ, , , , , , , , , ], [இல், ல், ஆமை, , , , , , , , , ], [இல்ல், ஆம், ஐ, , , , , , , , , ], [இல்லாம், ஐ, , , , , , , , , , ], [இல்ல், ஆமை, , , , , , , , , , ]]
இல்லாமை:[[இல்லா, ம், ஐ, , , , , , , , , ], [இல், ல், ஆமை, , , , , , , , , ], [இல்ல், ஆம், ஐ, , , , , , , , , ], [இல்லாம், ஐ, , , , , , , , , , ], [இல்ல், ஆமை, , , , , , , , , , ]]
இல்லாமை:[[இல்லா, ம், ஐ, , , , , , , , , ], [இல், ல், ஆமை, , , , , , , , , ], [இல்ல், ஆம், ஐ, , , , , , , , , ], [இல்லாம், ஐ, , , , , , , , , , ], [இல்ல், ஆமை, , , , , , , , , , ]]
இல்லாமை:[[இல்லா, ம், ஐ, , , , , , , , , ], [இல், ல், ஆமை, , , , , , , , , ], [இல்ல், ஆம், ஐ, , , , , , , , , ], [இல்லாம், ஐ, , , , , , , , , , ], [இல்ல், ஆமை, , , , , , , , , , ]]
இல்லாள்:[[இல், ல், ஆள், , , , , , , , , ], [இல்ல், ஆள், , , , , , , , , , ]]
இல்லாள்:[[இல், ல், ஆள், , , , , , , , , ], [இல்ல், ஆள், , , , , , , , , , ]]
இல்லாவிடில்:[[இல்லாவிட், இல், , , , , , , , , , ]]
இல்லாவிட்டால்:[[இல்லாவிட்ட், ஆல், , , , , , , , , , ], [இல்லாவிட், ஆல், , , , , , , , , , ]]
இல்லாவிட்டால்:[[இல்லாவிட்ட், ஆல், , , , , , , , , , ], [இல்லாவிட், ஆல், , , , , , , , , , ]]
இல்லை:[[இல்லை, , , , , , , , , , , ]]
இளகு:[[இளகு, , , , , , , , , , , ]]
இளக்கம்:[[இளக்கு, அம், , , , , , , , , , ]]
இளக்காரம்:[[இளக்கார், அம், , , , , , , , , , ]]
இளக்கு:[[இளக்கு, , , , , , , , , , , ]]
இளங்கலை:[[இளங்கலை, , , , , , , , , , , ]]
இளசு:[[இளம், ச், உ, , , , , , , , , ]]
இளஞ்சார்வு:[[இளஞ்சார்வ், உ, , , , , , , , , , ]]
இளநிரை:[[இளம், ந், இரை, , , , , , , , , ]]
இளநிலை:[[இளம், ந், இலை, , , , , , , , , ]]
இளநீா்:[[இளநர்ஆ், null, , , , , , , , , , ]]
இளந்தாரி:[[இளம், ந், தாரி, , , , , , , , , ]]
இளப்பம்:[[இளப்பம், , , , , , , , , , , ]]
இளமானி:[[இளமா, ன், இ, , , , , , , , , ]]
இளமை:[[இளமை, , , , , , , , , , , ]]
இளம்:[[இளம், , , , , , , , , , , ]]
இளம்பிள்ளைவாதம்:[[இளம்பிள்ளைவாதம், null, , , , , , , , , , ]]
இளரத்தம்:[[இளரத்த், அம், , , , , , , , , , ]]
இளவட்டம்:[[இளவட்டம், , , , , , , , , , , ]]
இளவயதினா்:[[இளவயதினர், null, , , , , , , , , , ]]
இளவரசன்:[[இளவரசன், , , , , , , , , , , ]]
இளவரசி:[[இளவரசி, , , , , , , , , , , ]]
இளவல்:[[இ, ள், அவல், , , , , , , , , ]]
இளவாளி:[[இளம், வ், ஆளி, , , , , , , , , ]]
இளவேனில்:[[இளவேனில், , , , , , , , , , , ]]
இளி:[[இளி, , , , , , , , , , , ]]
இளிச்சவாயன்:[[இளிச்சவாயன், null, , , , , , , , , , ]]
இளிப்பு:[[இளி, ப், பு, , , , , , , , , ]]
இளை:[[இளை, , , , , , , , , , , ]]
இளைஞன்:[[இளைஞன், , , , , , , , , , , ]]
இளைப்பாறு:[[இளைப்பா, ற், உ, , , , , , , , , ], [இளைப்பாற், உ, , , , , , , , , , ]]
இளைப்பாறு:[[இளைப்பா, ற், உ, , , , , , , , , ], [இளைப்பாற், உ, , , , , , , , , , ]]
இளைப்பாற்றுச்:[[இளைப்பாற்றுச், null, , , , , , , , , , ]]
இளைப்பு:[[இளை, ப், பு, , , , , , , , , ]]
இளைய:[[இளை, ய, , , , , , , , , , ]]
இளையபட்டம்:[[இளையபட்டம், null, , , , , , , , , , ]]
இளையாள்:[[இளை, ய், ஆள், , , , , , , , , ]]
இழ:[[இழ, , , , , , , , , , , ]]
இழக்கு:[[இழ, க், கு, , , , , , , , , ]]
இழப்பாட்டம்:[[இழப்பாட்ட், அம், , , , , , , , , , ], [இழப்பாட், அம், , , , , , , , , , ]]
இழப்பாட்டம்:[[இழப்பாட்ட், அம், , , , , , , , , , ], [இழப்பாட், அம், , , , , , , , , , ]]
இழப்பீடு:[[இழப்பீ, ட், உ, , , , , , , , , ], [இழப்பீட், உ, , , , , , , , , , ]]
இழப்பீடு:[[இழப்பீ, ட், உ, , , , , , , , , ], [இழப்பீட், உ, , , , , , , , , , ]]
இழப்பு:[[இழ, ப், பு, , , , , , , , , ]]
இழவு:[[இழவு, , , , , , , , , , , ]]
இழி:[[இழி, , , , , , , , , , , ]]
இழித்து:[[இழி, த்து, , , , , , , , , , ]]
இழிநிலை:[[இழி, ந், இலை, , , , , , , , , ]]
இழிந்த:[[இழிந், த, , , , , , , , , , ], [இழிந்த், அ, , , , , , , , , , ]]
இழிந்த:[[இழிந், த, , , , , , , , , , ], [இழிந்த், அ, , , , , , , , , , ]]
இழிவு:[[இழிவு, , , , , , , , , , , ]]
இழிவுபடுத்து:[[இழிவுபடுத்து, null, , , , , , , , , , ]]
இழு:[[இழு, , , , , , , , , , , ]]
இழுக்கப்பறிக்க:[[இழுக்கப்பறிக்க, null, , , , , , , , , , ]]
இழுக்கு:[[இழுக்கு, , , , , , , , , , , ]]
இழுத்த:[[இழுத், த, , , , , , , , , , ], [இழுத்த், அ, , , , , , , , , , ]]
இழுத்த:[[இழுத், த, , , , , , , , , , ], [இழுத்த், அ, , , , , , , , , , ]]
இழுத்தடி:[[இழுத்த, ட், இ, , , , , , , , , ]]
இழுத்து:[[இழு, த்து, , , , , , , , , , ]]
இழுத்துக்கொண்டு:[[இழு, த்து, க், கொண்டு, , , , , , , , ]]
இழுத்துப்:[[இழுத்து, ப், , , , , , , , , , ]]
இழுத்துப்பிடி:[[இழுத்துப்பிடி, null, , , , , , , , , , ]]
இழுத்துப்போட்டுக்கொள்:[[இழுத்துப்போட்டுக்கொள், null, , , , , , , , , , ]]
இழுத்துவிடு:[[இழுத்துவிட், உ, , , , , , , , , , ]]
இழுபறி:[[இழு, பறி, , , , , , , , , , ]]
இழுப்பறை:[[இழுப்ப, ற், ஐ, , , , , , , , , ], [இழுப்பற், ஐ, , , , , , , , , , ]]
இழுப்பறை:[[இழுப்ப, ற், ஐ, , , , , , , , , ], [இழுப்பற், ஐ, , , , , , , , , , ]]
இழுப்பு:[[இழு, ப், பு, , , , , , , , , ]]
இழுப்புக்கு:[[இழுப்ப், உ, க், கு, , , , , , , , ], [இழுப்புக்க், உ, , , , , , , , , , ], [இழுப்புக், கு, , , , , , , , , , ]]
இழுப்புக்கு:[[இழுப்ப், உ, க், கு, , , , , , , , ], [இழுப்புக்க், உ, , , , , , , , , , ], [இழுப்புக், கு, , , , , , , , , , ]]
இழுப்புக்கு:[[இழுப்ப், உ, க், கு, , , , , , , , ], [இழுப்புக்க், உ, , , , , , , , , , ], [இழுப்புக், கு, , , , , , , , , , ]]
இழுவல்:[[இழு, வ், அல், , , , , , , , , ]]
இழுவிசை:[[இழு, வ், இசை, , , , , , , , , ]]
இழுவை:[[இழு, வ், ஐ, , , , , , , , , ]]
இழை:[[இழை, , , , , , , , , , , ]]
இழைக்கட்டு:[[இழைக்கட்ட், உ, , , , , , , , , , ], [இழைக்கட், உ, , , , , , , , , , ]]
இழைக்கட்டு:[[இழைக்கட்ட், உ, , , , , , , , , , ], [இழைக்கட், உ, , , , , , , , , , ]]
இழைக்கயிறு:[[இழைக்கயிற், உ, , , , , , , , , , ]]
இழைப்புளி:[[இழைப்பு, ள், இ, , , , , , , , , ]]
இழையோடு:[[இழை, ய், ஓடு, , , , , , , , , ]]
இவன்:[[இவன், , , , , , , , , , , ]]
இவள்:[[இவள், , , , , , , , , , , ]]
இவா்:[[, இவர், , , , , , , , , , ]]
இவா்கள்:[[இவர், கள், , , , , , , , , , ]]
இவை:[[இ, வ், ஐ, , , , , , , , , ]]
இவ்வளவு:[[இவ்வளவு, , , , , , , , , , , ]]
இவ்வளவுக்கும்:[[இவ்வளவுக்கும், null, , , , , , , , , , ]]
இவ்வாறு:[[இவ்வாறு, , , , , , , , , , , ]]
இவ்விடம்:[[இவ்விடம், , , , , , , , , , , ]]
இஷ்டதெய்வம்:[[இஷ்டதெய்வ், அம், , , , , , , , , , ]]
இஷ்டதேவதை:[[இஷ்டதேவத், ஐ, , , , , , , , , , ]]
இஷ்டம்:[[இஷ்டம், , , , , , , , , , , ]]
இஸ்திரிபோடு:[[இஸ்திரிபோட், உ, , , , , , , , , , ], [இஸ்திரிப், ஓடு, , , , , , , , , , ]]
இஸ்திரிபோடு:[[இஸ்திரிபோட், உ, , , , , , , , , , ], [இஸ்திரிப், ஓடு, , , , , , , , , , ]]
இஸ்திரிப்:[[இஸ்திரி, ப், , , , , , , , , , ]]
இஸ்லாமியர்:[[இஸ்லாமியர், , , , , , , , , , , ]]
இஸ்லாம்:[[இஸ்லாம், , , , , , , , , , , ]]
ஈ:[[ஈ, , , , , , , , , , , ]]
ஈகக்குச்சி:[[ஈகக்குச்சி, null, , , , , , , , , , ]]
ஈகை:[[ஈகை, , , , , , , , , , , ]]
ஈகைப்:[[ஈகை, ப், , , , , , , , , , ]]
ஈக்கில்:[[ஈ, க், கில், , , , , , , , , ]]
ஈசன்:[[ஈசன், , , , , , , , , , , ]]
ஈசல்:[[ஈச், அல், , , , , , , , , , ]]
ஈசான:[[ஈச், ஆன, , , , , , , , , , ], [ஈசான், அ, , , , , , , , , , ]]
ஈசான:[[ஈச், ஆன, , , , , , , , , , ], [ஈசான், அ, , , , , , , , , , ]]
ஈசானிய:[[ஈசானி, ய, , , , , , , , , , ]]
ஈசுவரன்:[[ஈ, சுவர், அன், , , , , , , , , ]]
ஈசுவரி:[[ஈசு, வ், அரி, , , , , , , , , ], [ஈசு, வரி, , , , , , , , , , ], [ஈசுவர், இ, , , , , , , , , , ]]
